,online_cer
online_cer,1.0
online_wer,0.8375344209242881
agreement_cer,0.7273625070967219
hyp_online_tq,-0.539044661180788
hyp_online_lm_logprob,-0.5390045834463387
ref_lm_logprob,0.18704373969415977
ref_tq,0.18702063515578213
hyp_teacher_lm_logprob,0.1413314363768285
hyp_teacher_tq,0.14132946294512477
teacher_cer,-0.1403440515145687
teacher_wer,-0.13924212248541284
aq,-0.11299281685385866
speech_ratio,-0.047760116520097325
snr_db,-0.039295986384165475
clip_ratio,-0.010989792912854136
